review_rating,review_text,review_text_plus,review_text_minus
5,Отличного кеды. Прекрасное качество . Идут размер в размер. Ничем посторонним не пахнут . Приехали хорошо упакованы . Рекомендую .,,
5,"Достоинства:Выглядят достойно
Недостатки:Не буду",,
4,Достоинства:Другие модели этого же бренда смотрятся бодрее,,
5,"На первый взгляд все норм, посмотрим как в эксплуатации себя покажут. Но цена вообще огонь для таких, поэтому не так уж будет жалко если хотя бы пол года поживут",,
5,"Достоинства:Качественные
Комментарий:Не подошел размер ,поэтому отказ",,
5,"Достоинства:Крутые, но размер не подешевел",,
5,"Достоинства:Хорошие,не подошел размер, поэтому отказ",,
5,,,
5,"Достоинства:Домтавка за день
Недостатки:Большемерят
Комментарий:Отличные кроссовки. Качество отличное. Но к сожалению выбор пал на другую модель.",,
1,"1 кроссовок пришёл 43р, второй пришел 44р",,
5,"Достоинства:На вид неплохие, но муж забраковал",,
5,"Достоинства:Муж носит на работу, сказал , как в тапочках",,
5,"Достоинства:Классные кеды. Все подошло, все понравилось!",,
5,Достоинства:Мужу понравились. Удобные. Размер в размер.,,
4,Достоинства:На первый взгляд нормально выглядят . Немного маломерят на один размер .,,
5,Достоинства:Отличные кеды.,,
5,"Достоинства:Красивые , аккуратные . Пришли хорошо запакованы!
Недостатки:Нет
Комментарий:Муж доволен, удобные",,
5,,,
3,Достоинства:В общем не плохой Просто подошва другово цвета как бутто пожелтел..,,
5,"Достоинства:Внешний вид шикарный, очень легкие кеды и удобные. Единственное поспешил с размером, ну это уже мой просчет. Обувь четкая. жалко моего размера нету.",,
5,Достоинства:На вид все ок Посмотрим позже,,
4,"Достоинства:Мягкие, удобные. Норм кедосы
Недостатки:На пол размера большемерят",,
5,Достоинства:Отличные кеды! Удобные стильные красивые! Сын в восторге!,,
5,Достоинства:Достойные за эту цену. Удобные,,
4,"Достоинства:Очень классно молодцы
Комментарий:Всё ок",,
5,Достоинства:Хорошие! Мягкие,,
5,Достоинства:Удобные.,,
5,"Пока новые, вроде не плохие Дальше видно будет НЕ ЗНАЮ ЧЬЯ ВИНА, НО ЕХАЛИ ОЧЕНЬ ДОЛГО..",,
5,"Достоинства:Хорошие, но сыну, к сожалению, не зашли.",,
5,Достоинства:Просто супер,,
5,Кеды суперские но было малават,,
