review_rating,review_text,review_text_plus,review_text_minus
4,"Достоинства:Неплохие, но есть немного клея по подошве, но, главное на размер меньше, поэтому отказ",,
5,"Достоинства:Мягкая подошва,
Недостатки:Стельки,поставил сразу свои.
Комментарий:За эти деньги,на сезон хватит. Если сумма до 4р то рекомендую. По размеру маломерят,у меня US 8.5 взял US 9.5 идеально подошли.",,
5,"Достоинства:Удобные ,легко надевать не промокаю ноге конфортно
Комментарий:Доставили быстро раньше срока што очень радует",,
5,"Достоинства:Оккуратные
Комментарий:Отличные кроссовки. Пошиты хорошо. Не подошли по размеру. Маломерят на размер. Будем заказывать на размер больше.",,
5,"Стильные кроссовки хорошего качества, удобны при ходьбе. На широкие стопы с высоким подъемом, длиной 28 см подошел 44 размер согласно таблице в карточке товара. Рекомендую!
Первоначальный отзыв",,
5,"Достоинства:Кроссовки возможно хорошие, но вызвали в коммандировку не успели померить",,
5,"Достоинства:Хорошие, единственный минус-запах",,
5,"Достоинства:Вроде не плохие. Время покажет
Недостатки:На 41 размер ноги подошёл 43",,
4,Недостатки:Маломерит на размер,,
5,Достоинства:топ,,
4,Недостатки:Маломерят,,
4,Недостатки:Маломерят,,
4,Недостатки:Маломерят,,
5,Достоинства:Отличные ходить можно,,
5,Достоинства:Размер не подошёл,,
1,Достоинства:Качество плохое,,
5,Хорошие кроссовки. Не подошли по размеру,,
4,"Достоинства:Внешне симпотичные, соответсвуют фото в карточке товара.
Недостатки:Очень жесткий задник, уже в ходе примерки стало понятно, что будет натирать. Немного маломерят.",,
5,"Достоинства:Кроссовки хорошие, но к сожалению маломерят, будем перезаказывать",,
5,"Достоинства:Качество отличное, но по ширине ноги не прошли, отказ в пользу другой модели",,
5,"Достоинства:Лёгкие, удобно сидят на ноге. Качество хорошее, немног клея торчит, но не критично. На свой 44 брал 45.Заказывал 3 разные модели, остановился на этих. Класные подкрадули!",,
5,"Кросы классные,удобные,но размеры прямо таки маленькие.Если у вас 44,то надо заказывать 46.Рекомендую.Кпчественные.",,
5,Недостатки:Маломерки,,
5,"Достоинства:Отличное качество
Недостатки:Отсутствуют",,
5,"Достоинства:Классные кросы, очень мягкие, для бега супер",,
5,Достоинства:Маломерки,,
5,"Достоинства:качество
Недостатки:на 1 размер меньше",,
5,"Качесвтро за свои деньги неплощое,посмотрим как проявят себя в сырую погоду",,
5,"Достоинства:Кросы огонь, теплые.",,
5,"Отличноо качества,заказал больший размер",,
5,"Достоинства:Очень, хорошего качества кроссовки, но увы 41 размер оказались малы, перезаказали на 42.",,
4,Недостатки:Маломерят на 1размер точно,,
4,Недостатки:Маломерят,,
1,"Очень сильно маломерят, на 2 размера точно, покупал рр.46 на 45 и то маловаты, отправил на возврат.",,
3,Недостатки:Неокуратно пошитые,,
3,"Для осени тонковаты, на фото смотрятся лучше. Отказ.",,
5,"Достоинства:Классные кроссовки. Упакованы отлично. К покупке рекомендую👍
Недостатки:-",,
3,Недостатки:Сильно маломерят,,
5,"Недостатки:виден клей, не работает гортекс и сетка пропускает воду разачарован",,
5,"Достоинства:Коассовки бомбические,мой доволен",,
3,Недостатки:маломерят,,
3,"Достоинства:Внеше более менее
Недостатки:По качеству дешман(клей видно, не ровные.) Не приятный запах. Маломерят сильно.",,
5,"Достоинства:Отличного качества, но из-за полноты ноги , не очень удобны",,
3,"Достоинства:Пока что все норм
Недостатки:Клея много, ваняет китайщиной! И сразу говорю, как купили прошейте оба кроссовка
Комментарий:Без комментариев..",,
5,Недостатки:Маломерит на 2 размера.,,
5,"Достоинства:Класные кросы
Недостатки:Нету",,
5,Достоинства:Очень,,
5,"Достоинства:Кроссовки качественные, оправдали ожидание:)
Недостатки:Немного маломерят, заказал 46 на 45 ногу, но критичного ничего нету. Заказывайте на два размера больше :)",,
4,Недостатки:Маломерят очень,,
4,"Достоинства:Всё супер
Недостатки:Клей по краю подошвы.",,
5,"Достоинства:Отличный, удобные , подошва не дубовая, легкие , не угадала с размером, пришлось перезаказать",,
5,"Достоинства:Внутри термо утеплитель. Первый раз вижу в обуви такое, очень хорошо придумали. Хорошо прошиты.",,
5,"Достоинства:Мне понравился
Недостатки:Клей пахнет",,
5,Достоинства:Очень удобные,,
