review_rating,review_text,review_text_plus,review_text_minus
5,"Достоинства:Удобные
Недостатки:Нет
Комментарий:Положительные",,
5,Достоинства:Супер,,
1,Достоинства:Отвратительное качество товара! После покупки через 2 недели отклеилась подошва. Одели пару раз в зале. По улице не ходили.,,
4,Достоинства:За эти деньги качество соответствует.,,
5,Достоинства:Красовки бомба!!!!сын в восторге🤗🤗🤗,,
3,Маленькие,,
5,"Достоинства:Качество щикарное
Недостатки:Недостатков нет!!!
Комментарий:В наборе идет несколько пар шнурков свои документы💚",,
5,Достоинства:За эти деньги не плохие кроссы. Ну клей конечно там везде. Пойдут,,
1,Недостатки:Качество дно. Везде клей,,
5,"Достоинства:Визуально прикольные , модель хорошая, мужу понравилась очень.
Недостатки:Глянцевое порытие , может быстро износиться , царапены будет видно .
Комментарий:При аккуратной носке , будут хорошим дополнением к вашему образу .",,
5,"Достоинства:Ваще хорошие за свои деньги
Недостатки:Маломерят на два размера
Комментарий:Я их изговняла уже в 1 день потому что они замшевые, но а так они топ и не дорого стоят только маломерят",,
5,Достоинства:Хорошие . Спасибо,,
5,,,
1,"ну клей везде, будто перед получением склеили, ну и вид у них не такой как на фото",,
4,"Честно, очень надоело мерить эти кроссовки, они либо маленькие, либо большие. Пойдём искать другие(",,
2,"Достоинства:Красивые
Недостатки:Уже в -10 в них холодно",,
4,"Достоинства:Смотрятся хорошо
Комментарий:Заказал два размера 43 и 44, 43 размер оказался мал, 44 в самый раз, но качество намного хуже чем на 43 размере, очень странно, ведь это одна модель, отказ",,
1,"Достоинства:вообще абсолютно ничего , супер маломерят и не как на фото выглядят очень дешманско как будто его ребенок с толстым пальчиками сшивал",,
1,"Недостатки:Присалили не ту расцветку, увидел только когда начал вскрывать все коробки в примерочной, продавец не отвечает",,
5,"Достоинства:Достойные кросовки
Недостатки:Нету пока",,
5,"Достоинства:Удобно
Недостатки:На ноге сидит не так как хотелось бы, форма странная
Комментарий:Так бы забрал, но маломерит",,
4,"Достоинства:Удобно
Недостатки:Гойда
Комментарий:Ну немного на ноге не так сидят как хотел",,
1,"Недостатки:1 месяц носки , порвались в хлам ) понятно что цена не боглшая но оучше купить на 1000 рублей дороже но что-то по лучше чем этот китай 🥲",,
5,"Достоинства:Легкие
Недостатки:Коробки ужасные, как будто по ним прыгали, хорошо что сама обувь не пострадала
Комментарий:Легкие, удобные, сыну понравились, взяли для занятий в спортзал",,
1,"Достоинства:Нет их
Недостатки:Стелька меньше на 2 размера
Комментарий:Разочарование",,
5,"Достоинства:норм
Недостатки:норм
Комментарий:норм",,
5,"Недостатки:Нет
Комментарий:Удобные",,
3,Достоинства:Пришли ободроные и надпись на половину стёрта,,
1,Недостатки:Маломерят. Заказали другие,,
5,"Достоинства:Кросовки хорошие ,но маломерят сильно.Перезаказали на 2 размера больше.",,
4,"Достоинства:Соответствует картинке
Недостатки:Упаковки практически нет.
Комментарий:Спасибо что чистые",,
1,Недостатки:Не рекомендую данную обувь ! Через месяц начали разваливаться,,
5,Достоинства:Классные лёгкие для спортзала замечательно,,
2,"Недостатки:Совсем не термо, очень тонкие, летние",,
5,"Достоинства:Кроссовки супер!
Недостатки:Нет",,
5,"Достоинства:31.08.2024 купила 24.11.2024 сегодня отличные и удобные кроссовки купила за 1800 до сих пор как новые если мыть,не маломерят 39=39",,
5,Достоинства:Отдичные кроссовки затсвою ценю огонь,,
5,"Достоинства:За свою цену ,отличные крассовки",,
5,"Достоинства:Удобные, мягкая подошва
Комментарий:Отличные кроссовки за такие деньги",,
1,Ужас кросовки,,
5,"Достоинства:Кросоки выглядят как на фото огонь, размер 40.1
Недостатки:Все ок",,
5,Дочке понравились,,
5,"Достоинства:Хорошие, спасибо 🤗",,
3,"Достоинства:Выглядят красиво
Недостатки:Маломерят, на 44 размер 45 оказались малы. Возврат",,
5,Недостатки:Маломерки,,
1,Недостатки:Подошва местами вообще не приклеена 👎,,
5,"Достоинства:Кроссовки понравились, сын доволен, запаха нет👍🏻",,
1,Недостатки:Расклеились на 2 день,,
5,"Достоинства:Теплые, удобные, достаточно качественные. Немного маломерят",,
4,"Достоинства:Имба
Недостатки:Нету",,
5,"Достоинства:Неплохие кросы. На лето - не больше,",,
5,Достоинства:Все огонь!!!,,
1,Недостатки:Клей на носке видно,,
3,"Достоинства:цена
Недостатки:Раньше покупала Коламбию (не этот Артикул) - ткань была матовая, про запах не думала, а тут пришло ткань черная с сильным блеском, и пахнет сильно клеем. Ну, то есть, для тех, кто ""без понтов"". Взяли, чтобы хорошую обувь поберечь (ночные смены с переодеванием, в машине).",,
5,"Достоинства:Товары пришёл очень быстро, после примерки 👍 всё отлично
Комментарий:Отличный товар 👍 рекомендую продавца",,
5,Достоинства:Все отлично,,
5,"Достоинства:Отличные кроссовки, сыну понравились, ногам тепло и комфортно
Недостатки:Нет",,
5,Очень отличные кроссовки,,
1,"После первой стирки они стали скользкие, типо замша отошла частями, качество как будто бумага с чем то, в пустую потраченные деньги, прошу вернуть.",,
5,Недостатки:Заказал самый большой размер по итогу не подошли,,
4,"Достоинства:красивые
Недостатки:до -21 не дойдет",,
5,"Всё замечательно,просто велики.",,
4,"Достоинства:Красивые кроссовки.
Недостатки:Есть запах немного.
Комментарий:Хорошо проклеяны. Думаю достойно выглядят за свою цену.",,
5,Достоинства:Доставка своевременно,,
5,Товар полностью соответствует описанию и фотографиям,,
5,"Достоинства:Хорошие, но сыну понравились другие",,
5,"Понравились, после длительной носки целые👍",,
5,"Достоинства:очень удобные, хорошо в них бегать
Недостатки:кончики протерлись немного после первой тренировки
Комментарий:советую",,
1,"Недостатки:Не соответствуют размеры по таблице
Комментарий:Заказала 2 размера ,что б посмотреть в каких удобнее (40р,41р) По итогу 40р в таблице указан как 25-25,5 а пришел 24,5. Заказала одинаковые но разных размеров ,пришли разные,разная расцветка и разная подошва . В общем товар не соответствует заявленому",,
5,"Достоинства:качественный товар, но размер не подошел",,
1,"Недостатки:Пришли не те,заказывал adidas,пришли asics",,
5,Достоинства:Шикарные кроссовки,,
5,"Достоинства:Качество, цена
Комментарий:Очень классные кроссы всём советую",,
4,"Достоинства:Неплохие кроссовки, но очень сильно маломерят
Недостатки:У мужа размер ноги 40, кроссовки же подошли только 43 размера",,
4,"Достоинства:Мягкие и удобные
Недостатки:Нет",,
5,"Достоинства:Сшиты нормально.
Недостатки:Фото не соответствует , что приходит , на фото 8 петелек под шнурок а приходит 10 на пвз сразу паника у девушки, смтрите при осмотре
Комментарий:Не подошли размером возврат.",,
5,"Достоинства:Товар хороший, доставка быстрая.",,
5,,,
5,"Достоинства:все отлично и соответствует картинке и вторые шнурки есть,очень довольна",,
5,"Достоинства:Кроссовки хорошие, ошиблись с размером.",,
1,Пришел не тот размер что заявлен в таблице размеров .,,
5,Достоинства:Качество,,
1,"Достоинства:Нету
Недостатки:Пришли отклеенные",,
5,"Достоинства:Соответствуют описанию и картинки, клея не заметил, внешне выглядят хорошо",,
5,Достоинства:суперские,,
5,"Кроссы сын носит и в школу и вечером на улицу, сказал что просто супер.
Первоначальный отзыв",,
5,"Достоинства:Нормальные, тёплые кроссовки. Не премиум качества, но смотрятся на ноге прилично. Ноги не хотят ходить на ПВЗ, поэтому примерка дома. Не угадали немного с размером. Сыну велики. Пришлось вернуть к сожалению.",,
5,Достоинства:Отлично товар мне понравился,,
5,"Достоинства:очень хорошие кроссовки, удобные
Недостатки:нету",,
5,"Достоинства:Хорошие кроссовки, но сын выбрал другую модель",,
5,"Достоинства:Запаха нет, сделаны шикарно, размер подошел
Недостатки:Нет",,
5,"Достоинства:Отличные кроссовки, доча надела и снимать не хочет!",,
5,"Достоинства:По виду видно, что кросы хорошего качества 🔥",,
4,"Достоинства:По качеству претензий нет. Сделаны хорошо.
Недостатки:Очень воняют резиной как китайские резиновые тапки или сапоги. Просто невыносимый запах
Комментарий:Кому запах не важен то можно брать. Кроссовки имеют аккуратный качественный вид. В носке как будут неизвестно. Вернули из-за запаха",,
5,Достоинства:очень клёвый 👍,,
5,Достоинства:Отличные кроссовки,,
3,"Недостатки:Когда потеет нога появляется мокрая полоса, большой минус",,
1,"Недостатки:Маломерят сильно, выглядят очень дешево, китай подпольный",,
5,"Достоинства:все хорошо.
Комментарий:на 41-42 подходят по размеру.",,
1,"Достоинства:Подошва как будто из твердого пластика, везде клей, размер подошел вроде нога сидит в кроссовке свободно, но что то давит на пятку.",,
