review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
5,"Достоинства:Хорошие, сын пол года одевает на тренировку по футболу, и они даже еще не порвались 👍","Хорошие, сын пол года одевает на тренировку по футболу, и они даже еще не порвались 👍",Нет,Нет
4,"Достоинства:Прошу несколько тренировок и всё хорошо держится
Недостатки:Заказывали все по таблице и вышел 41",Прошу несколько тренировок и всё хорошо держится,Заказывали все по таблице и вышел 41,Нет
3,Недостатки:Быстро стирается подошва,Нет,Быстро стирается подошва,Нет
4,Недостатки:На узкую стопу,Нет,На узкую стопу,Нет
5,"Достоинства:Ребенку удобно, яркие","Ребенку удобно, яркие",Нет,Нет
5,"Достоинства:Удобные
Комментарий:Сыну понравились, посмотрим сколько протерпят.",Удобные,Нет,"Сыну понравились, посмотрим сколько протерпят."
5,"Достоинства:Хорошие бутсы, качественно сделаны, удобные, пятку не давят 👍","Хорошие бутсы, качественно сделаны, удобные, пятку не давят 👍",Нет,Нет
5,Достоинства:Ребёнку нравятся. Удобные,Ребёнку нравятся. Удобные,Нет,Нет
5,Достоинства:Брали для мальчика на размер 38-39. На узкую ногу сильно широкие.,Брали для мальчика на размер 38-39. На узкую ногу сильно широкие.,Нет,Нет
5,"Достоинства:отличные бутсы, обманулись с размером","отличные бутсы, обманулись с размером",Нет,Нет
5,"Достоинства:В размер
Комментарий:В таких же занимается ребёнок 2 раза в неделю, держатся, посмотрим как будут держаться у мужа.",В размер,Нет,"В таких же занимается ребёнок 2 раза в неделю, держатся, посмотрим как будут держаться у мужа."
5,"Достоинства:Удобные, стильные, соответствуют размеру
Недостатки:Нет
Комментарий:Полностью соответствуют размеру, удоьные и по цене очень выгодные)","Удобные, стильные, соответствуют размеру",Нет,"Полностью соответствуют размеру, удоьные и по цене очень выгодные)"
1,Заказывал 42 размер приехал 43,Нет,Нет,Заказывал 42 размер приехал 43
5,Достоинства:Отличные бутцы! Внук счастлив и доволен!))),Отличные бутцы! Внук счастлив и доволен!))),Нет,Нет
5,"Достоинства:Хорошие кросы но не подошёл размер,качество хорошее
Недостатки:Нету","Хорошие кросы но не подошёл размер,качество хорошее",Нету,Нет
5,"Достоинства:Хорошие, ребёнку понравились","Хорошие, ребёнку понравились",Нет,Нет
3,"Достоинства:Хорошо садятся на ногу.
Недостатки:Быстро рвутся, по краям и на подошве.",Хорошо садятся на ногу.,"Быстро рвутся, по краям и на подошве.",Нет
5,"Достоинства:Мягкие, удобные, не скользят. Соответствует описанию.","Мягкие, удобные, не скользят. Соответствует описанию.",Нет,Нет
5,Достоинства:Супер,Супер,Нет,Нет
5,Достоинства:👍,👍,Нет,Нет
5,"Достоинства:Качество хорошее, но оказались узкие. Нужна другая модель","Качество хорошее, но оказались узкие. Нужна другая модель",Нет,Нет
5,"Достоинства:В размер,носим 3 месяца ,отлично","В размер,носим 3 месяца ,отлично",Нет,Нет
5,"Достоинства:Футзалки, имбовые.","Футзалки, имбовые.",Нет,Нет
5,Достоинства:Хорошие футзалки,Хорошие футзалки,Нет,Нет
5,Достоинства:Хорошие 👍,Хорошие 👍,Нет,Нет
5,"Достоинства:Приехали быстро, хорошо упакованы, качественные.нигде нет клеевых подтеков. Сыну очень понравились, удобные, легко надеваются. Не мог дождаться тренировки, чтобы их испробовать. После тренировки остался доволен.","Приехали быстро, хорошо упакованы, качественные.нигде нет клеевых подтеков. Сыну очень понравились, удобные, легко надеваются. Не мог дождаться тренировки, чтобы их испробовать. После тренировки остался доволен.",Нет,Нет
5,"Достоинства:Футзалки классные , ребенок очень доволен,спереди всё прошито,незнаю как будут в носке,но на вид очень классные, однозначно на данный момент рекомендую 🔥🔥🔥.Маломерят на один размер полноценный.","Футзалки классные , ребенок очень доволен,спереди всё прошито,незнаю как будут в носке,но на вид очень классные, однозначно на данный момент рекомендую 🔥🔥🔥.Маломерят на один размер полноценный.",Нет,Нет
4,Бомба🔥💣,Нет,Нет,Бомба🔥💣
5,"Достоинства:Отличные, не скользят","Отличные, не скользят",Нет,Нет
5,"Материал хороший, очень легкие.",Нет,Нет,"Материал хороший, очень легкие."
