review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
1,"Достоинства:Удобные
Недостатки:Виден клей , мятая , местами порванная коробка",Удобные,"Виден клей , мятая , местами порванная коробка",Нет
3,"Достоинства:Качество кед и внешний вид хороший
Недостатки:Убитая коробка, перевязана резинкой (на подарок не годится)
Комментарий:Помимо того, что маломерят и недостатки в упаковке, остальное безупречно. На размер 37,5 подошли 39.",Качество кед и внешний вид хороший,"Убитая коробка, перевязана резинкой (на подарок не годится)","Помимо того, что маломерят и недостатки в упаковке, остальное безупречно. На размер 37,5 подошли 39."
3,"Достоинства:Качество за такую цену пойдет
Недостатки:Ужасный запах резины. Не выветривается уже больше недели. Маломерят. Заказал 43 размер(обычно 42,43 поекпаю) правый ботинк впритык, левый почему то жмёт(как так?!) не комфортно долго носить.",Качество за такую цену пойдет,"Ужасный запах резины. Не выветривается уже больше недели. Маломерят. Заказал 43 размер(обычно 42,43 поекпаю) правый ботинк впритык, левый почему то жмёт(как так?!) не комфортно долго носить.",Нет
1,"Недостатки:страшно маломерят
Комментарий:кЕтай + страшно маломерят)",Нет,страшно маломерят,кЕтай + страшно маломерят)
4,"Достоинства:На размер ноги 23 см заказали 37 размер. Т.к.написано в фото, маломерят.
Недостатки:Обещанных носков НЕТ! Пришла обувь без коробки, просто в мешочке.","На размер ноги 23 см заказали 37 размер. Т.к.написано в фото, маломерят.","Обещанных носков НЕТ! Пришла обувь без коробки, просто в мешочке.",Нет
5,Достоинства:Отличные,Отличные,Нет,Нет
5,"Нормально, на физ-ру пойдет",Нет,Нет,"Нормально, на физ-ру пойдет"
5,"Кеды хорошие, сыну понравились. Но они сильно маломерят, на размер ноги 38, сын в 39 размер,даже ногу засунуть не смог. Пришлось отказаться и заказать большего размера.",Нет,Нет,"Кеды хорошие, сыну понравились. Но они сильно маломерят, на размер ноги 38, сын в 39 размер,даже ногу засунуть не смог. Пришлось отказаться и заказать большего размера."
4,"Достоинства:Размер подошёл
Недостатки:Слишком низкие",Размер подошёл,Слишком низкие,Нет
3,Достоинства:Слишком плохое качество,Слишком плохое качество,Нет,Нет
5,"Достоинства:Кеды нормальные, конечно за такую цену 100% оригинал обещать вам не будут, но блин, за такую цену только на рынке турецком найти можно похожие, и то, с рынка развалятся за месяц+- а эти выглядят живучее и по качеству лучше, для спортзала самое то)","Кеды нормальные, конечно за такую цену 100% оригинал обещать вам не будут, но блин, за такую цену только на рынке турецком найти можно похожие, и то, с рынка развалятся за месяц+- а эти выглядят живучее и по качеству лучше, для спортзала самое то)",Нет,Нет
