review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
5,"Достоинства:Офигенные
Комментарий:Ноге оч удобно!",Офигенные,Нет,Ноге оч удобно!
1,Недостатки:Подошва треснула на 3 неделе использования,Нет,Подошва треснула на 3 неделе использования,Нет
4,Недостатки:Не маломерят по этому взял на размер больше оказались не много большие,Нет,Не маломерят по этому взял на размер больше оказались не много большие,Нет
2,"Недостатки:Неудобные, это какую пятку надо, чтобы она не выскакивали? До конца не шнуруются, качество материалов низкое.",Нет,"Неудобные, это какую пятку надо, чтобы она не выскакивали? До конца не шнуруются, качество материалов низкое.",Нет
5,"Мне очень понравились, но сын не оценил поэтому возврат. Сзади не понравились белые штуки",Нет,Нет,"Мне очень понравились, но сын не оценил поэтому возврат. Сзади не понравились белые штуки"
3,Недостатки:Жёсткая подошва!,Нет,Жёсткая подошва!,Нет
5,"Классные, взяли этой же фирмы с другого цвета мехом)",Нет,Нет,"Классные, взяли этой же фирмы с другого цвета мехом)"
5,"Достоинства:Сыну понравились. Для кавказской зимы вполне подходят
Недостатки:Пока нет",Сыну понравились. Для кавказской зимы вполне подходят,Пока нет,Нет
2,"Недостатки:На 42 размер заказала 43 с запасом на 1, тк указано что маломерят , присали 44, спасибо 🤝 зимние галоши",Нет,"На 42 размер заказала 43 с запасом на 1, тк указано что маломерят , присали 44, спасибо 🤝 зимние галоши",Нет
5,"Достоинства:Очень👍 теплые, не скользят.","Очень👍 теплые, не скользят.",Нет,Нет
5,"Хорошие, жаль, не угадали с размером. Перезаказала.",Нет,Нет,"Хорошие, жаль, не угадали с размером. Перезаказала."
5,"Достоинства:Тёплые, размер подошёл
Комментарий:Отлично","Тёплые, размер подошёл",Нет,Отлично
5,Мальчику понравились🌹,Нет,Нет,Мальчику понравились🌹
1,"Достоинства:Нет
Недостатки:Нет
Комментарий:Не красивые",Нет,Нет,Не красивые
5,"Достоинства:Тёплые хорошии
Недостатки:Шнурки быстро развязываються",Тёплые хорошии,Шнурки быстро развязываються,Нет
5,"Брали сыну, ему понравились говорит немного узковатые но почти не ощущается. Носит, нравится. По мне так были бы повыше вообще классно было, а так сегодня пришёл с прогулки ноги мокрые снег попадает.",Нет,Нет,"Брали сыну, ему понравились говорит немного узковатые но почти не ощущается. Носит, нравится. По мне так были бы повыше вообще классно было, а так сегодня пришёл с прогулки ноги мокрые снег попадает."
4,"Достоинства:Симпатичные кроссовки.
Недостатки:Немного скользит.",Симпатичные кроссовки.,Немного скользит.,Нет
5,"Достоинства:Лёгкие,прошитые, теплые при -15, дальше посмотрим.","Лёгкие,прошитые, теплые при -15, дальше посмотрим.",Нет,Нет
5,"Достоинства:Мальчик мой носит с удовольствием. Тепло ножкам. Спасибо.
Недостатки:Шнурки не понравились, заменила сразу на шнурки- резинки",Мальчик мой носит с удовольствием. Тепло ножкам. Спасибо.,"Шнурки не понравились, заменила сразу на шнурки- резинки",Нет
5,Недостатки:Моломерят,Нет,Моломерят,Нет
3,"Недостатки:Качество на 2, шнурки просто приклеены, сын в шоке. Однозначно отказ",Нет,"Качество на 2, шнурки просто приклеены, сын в шоке. Однозначно отказ",Нет
5,"Достоинства:Отличный кросы но много меха , да я читал что с мехом но не ожидал так. Одел вроде хорошо сели но я подумаю )","Отличный кросы но много меха , да я читал что с мехом но не ожидал так. Одел вроде хорошо сели но я подумаю )",Нет,Нет
5,Хорошие качественные 👍,Нет,Нет,Хорошие качественные 👍
5,"Достоинства:Написано,что маломерят на 38 взяла 39 сыну,но пришли полноразмерные","Написано,что маломерят на 38 взяла 39 сыну,но пришли полноразмерные",Нет,Нет
5,"Достоинства:Очень понравились на внешний вид 👍👍
Недостатки:Недостаток – очень маломерят. Поэтому пришлось отказаться, к сожалению.
Комментарий:Рекомендую продавца и товар.",Очень понравились на внешний вид 👍👍,"Недостаток – очень маломерят. Поэтому пришлось отказаться, к сожалению.",Рекомендую продавца и товар.
5,,Нет,Нет,
5,"Достоинства:Теплые, не скользкие совсем!!!
Недостатки:Пока не нашла
Комментарий:Соответствует Размерной таблице, на свой 38 взяла 39, всё отлично! Совсем не скользкие!! Для сибири это +!! Ноги не замерзли, хоть и прошлась не мало! Советую!","Теплые, не скользкие совсем!!!",Пока не нашла,"Соответствует Размерной таблице, на свой 38 взяла 39, всё отлично! Совсем не скользкие!! Для сибири это +!! Ноги не замерзли, хоть и прошлась не мало! Советую!"
5,"Достоинства:Хорошие, но предпочтение отдали другой моделе","Хорошие, но предпочтение отдали другой моделе",Нет,Нет
5,"Достоинства:Ребёнок доволен, говорит мягкие, комфортные.","Ребёнок доволен, говорит мягкие, комфортные.",Нет,Нет
1,Недостатки:На подошве уже краска,Нет,На подошве уже краска,Нет
