review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
4,"Муж носит 45,но к сожалению эти и 46 ему тесноваты",Нет,Нет,"Муж носит 45,но к сожалению эти и 46 ему тесноваты"
5,"Очень красивые и качественные кеды! Размер 48 подошел на свой 46-й. На широкую ногу тоже хорошо! Прям модные и выгледят дорого! Берите, не пожалеете!",Нет,Нет,"Очень красивые и качественные кеды! Размер 48 подошел на свой 46-й. На широкую ногу тоже хорошо! Прям модные и выгледят дорого! Берите, не пожалеете!"
5,"Достоинства:Сели отлично, удобные!
Недостатки:Их нет
Комментарий:К покупке рекомендую!","Сели отлично, удобные!",Их нет,К покупке рекомендую!
5,"Обувь отличная, отказ в пользу другой модели",Нет,Нет,"Обувь отличная, отказ в пользу другой модели"
3,"Достоинства:Удобные кеды, идут в размере по таблице.очень лёгкие,сын доволен.спасибо.","Удобные кеды, идут в размере по таблице.очень лёгкие,сын доволен.спасибо.",Нет,Нет
5,"Достоинства:Отличные кеды 👍
Недостатки:Нет
Комментарий:Брали ребенку в школу, отличные кеды 👌",Отличные кеды 👍,Нет,"Брали ребенку в школу, отличные кеды 👌"
4,"Отказ, мужу не понравился дизайн. Подошли хорошо по полноте на широкую стопу",Нет,Нет,"Отказ, мужу не понравился дизайн. Подошли хорошо по полноте на широкую стопу"
4,"К сожалению отказ, не подошли на широкую ногу",Нет,Нет,"К сожалению отказ, не подошли на широкую ногу"
5,"Достоинства:Афигенные кожанные. Размер подошёл тоненько. Пришли раньше.
Недостатки:Нету",Афигенные кожанные. Размер подошёл тоненько. Пришли раньше.,Нету,Нет
5,Достоинства:Соответствуют фото. Стильные удобные. Без брака. Рекомендую к покупке.,Соответствуют фото. Стильные удобные. Без брака. Рекомендую к покупке.,Нет,Нет
5,"Достоинства:Удобные, стильные, качественные","Удобные, стильные, качественные",Нет,Нет
5,"Достоинства:Удобные
Недостатки:Нет
Комментарий:Отличная, удобная обувь , идеально подошли к синим джинсам",Удобные,Нет,"Отличная, удобная обувь , идеально подошли к синим джинсам"
5,Отличные кеды. Заказываю уже второй раз этой фирмы.,Нет,Нет,Отличные кеды. Заказываю уже второй раз этой фирмы.
5,"Достоинства:Качественные, красивые
Недостатки:Нет
Комментарий:Очень красивая обувь. Для больших размеров есть варианты выбора. Прям очень довольны. Не широкие, хорошо ездить на машине.","Качественные, красивые",Нет,"Очень красивая обувь. Для больших размеров есть варианты выбора. Прям очень довольны. Не широкие, хорошо ездить на машине."
5,"Достоинства:Хорошие, удобные кроссовки
Недостатки:Нет","Хорошие, удобные кроссовки",Нет,Нет
5,"Достоинства:Отличного качества, размер соответствует
Недостатки:Нет
Комментарий:Супер смотрятся классно","Отличного качества, размер соответствует",Нет,Супер смотрятся классно
5,"Достоинства:Отличная обувь, подошла по размеру! Заказывала отцу!
Недостатки:Не обнаружено","Отличная обувь, подошла по размеру! Заказывала отцу!",Не обнаружено,Нет
4,"Достоинства:Аккуратный пошив, лёгкие,
Недостатки:На узкую ногу. И маломерит","Аккуратный пошив, лёгкие,",На узкую ногу. И маломерит,Нет
5,Достоинства:Кеды хорошие идут в размер,Кеды хорошие идут в размер,Нет,Нет
5,"Достоинства:Супер
Недостатки:Не обнаружены
Комментарий:Отличные кеды. Хорошее качество кожи. Шнурки с пропиткой. Сама не мерилв, но сын говорит, что удобные. Рекомендую.",Супер,Не обнаружены,"Отличные кеды. Хорошее качество кожи. Шнурки с пропиткой. Сама не мерилв, но сын говорит, что удобные. Рекомендую."
5,"Достоинства:Хорошие кеды,кожанные,в размер и удобные в носке.
Недостатки:Подошва не белая,но для мужа не критично
Комментарий:Удобные,ничего лишнего,качество понравилось.","Хорошие кеды,кожанные,в размер и удобные в носке.","Подошва не белая,но для мужа не критично","Удобные,ничего лишнего,качество понравилось."
5,Достоинства:Удобные. Приятные подушечки внутри,Удобные. Приятные подушечки внутри,Нет,Нет
5,"Достоинства:Качество, модель
Комментарий:Очень понравились по качеству и моделью кроссовки","Качество, модель",Нет,Очень понравились по качеству и моделью кроссовки
5,Хорошие кеды,Нет,Нет,Хорошие кеды
4,Недостатки:Слабое место по швам на пятке. У кого мужчина не любит пользоваться ложкой для обуви быстро порвутся.,Нет,Слабое место по швам на пятке. У кого мужчина не любит пользоваться ложкой для обуви быстро порвутся.,Нет
4,Внешний вид норм. Но маломерят сильно. 47-й мал оказался на свой 46. Идут на узкую ногу.,Нет,Нет,Внешний вид норм. Но маломерят сильно. 47-й мал оказался на свой 46. Идут на узкую ногу.
4,"Достоинства:Визуально неплохие кеды. К сожалению не подошёл размер.
Недостатки:Видимо маломерят. Т.к нога 31 см",Визуально неплохие кеды. К сожалению не подошёл размер.,Видимо маломерят. Т.к нога 31 см,Нет
4,"Достоинства:Кожа натуральная, удобные, размер соответствует
Недостатки:Подошва относительно быстро стирается
Комментарий:Беру вторую пару такую в соотношении цена-качество достойно","Кожа натуральная, удобные, размер соответствует",Подошва относительно быстро стирается,Беру вторую пару такую в соотношении цена-качество достойно
5,"Достоинства:Хорошо сели на полную ногу, мягкие и удобные
Недостатки:Отсутствует
Комментарий:Рекомендую, не скользят","Хорошо сели на полную ногу, мягкие и удобные",Отсутствует,"Рекомендую, не скользят"
5,Достоинства:Хорошие. Мужу понравились,Хорошие. Мужу понравились,Нет,Нет
