review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
5,"Достоинства:Теплые, комфортные","Теплые, комфортные",Нет,Нет
5,"Достоинства:Мужу понравились. Удобные, не скользят. На ноге смотрятся отлично, лучше чем на фото","Мужу понравились. Удобные, не скользят. На ноге смотрятся отлично, лучше чем на фото",Нет,Нет
5,Достоинства:Очень красивые и качественные,Очень красивые и качественные,Нет,Нет
5,Достоинства:Крутые!,Крутые!,Нет,Нет
1,"Недостатки:Галимая подделка,а цена конская",Нет,"Галимая подделка,а цена конская",Нет
5,"Достоинства:Качественная красивая обувь! Выглядит дорого и презентабельно! Рекомендуем продавца однозначно ! Соответствует описанию, как и многие модели в Rieker чуть большемерят.
Недостатки:Их нет
Комментарий:Потрясающие !","Качественная красивая обувь! Выглядит дорого и презентабельно! Рекомендуем продавца однозначно ! Соответствует описанию, как и многие модели в Rieker чуть большемерят.",Их нет,Потрясающие !
5,"Достоинства:Отличные,большеваты","Отличные,большеваты",Нет,Нет
5,Достоинства:Отлично,Отлично,Нет,Нет
5,"Достоинства:Легкие, удобные, качественно изготовленны.
Недостатки:Нет
Комментарий:Заказывал две модели на выбор. Очень понравились обе модели. В итоге забра две. Спасибо продавцу. Рекомендую товар к покупке.","Легкие, удобные, качественно изготовленны.",Нет,Заказывал две модели на выбор. Очень понравились обе модели. В итоге забра две. Спасибо продавцу. Рекомендую товар к покупке.
5,"Достоинства:Очень качественная обувь. Идут размер в размер. Качество и цена соответствуют. Рекомендую к покупке. Спасибо продавцу.
Недостатки:Нет.
Комментарий:Доволен.",Очень качественная обувь. Идут размер в размер. Качество и цена соответствуют. Рекомендую к покупке. Спасибо продавцу.,Нет.,Доволен.
4,"Достоинства:Неплохие кеды, но есть недостатки в качестве.","Неплохие кеды, но есть недостатки в качестве.",Нет,Нет
5,"Достоинства:Отличные кеды!Посмотрю как покажут себя зимой
Недостатки:Нет",Отличные кеды!Посмотрю как покажут себя зимой,Нет,Нет
5,"Хорошие ботинки на зиму, мех, конечно, не натуральный. Но мужу понравились, теплые, мягкие, выбирали по размерной сетке, все подошло",Нет,Нет,"Хорошие ботинки на зиму, мех, конечно, не натуральный. Но мужу понравились, теплые, мягкие, выбирали по размерной сетке, все подошло"
5,"Достоинства:Очень мягкие, приятные, тёплые. Очень комфортно.
Недостатки:Нет
Комментарий:Ничем не удивлён, потому что это Рикер! Качество на высоте.","Очень мягкие, приятные, тёплые. Очень комфортно.",Нет,"Ничем не удивлён, потому что это Рикер! Качество на высоте."
5,,Нет,Нет,
5,"Достоинства:Классные, качественые, тёплые
Недостатки:Не на высокий подъем
Комментарий:Очень понравились","Классные, качественые, тёплые",Не на высокий подъем,Очень понравились
5,"Достоинства:Класс, на узкую стопу","Класс, на узкую стопу",Нет,Нет
5,"Достоинства:Классные но длинноваты 42 размер, перезаказал на 41","Классные но длинноваты 42 размер, перезаказал на 41",Нет,Нет
5,"Достоинства:Отличная фирма, посмотрим как на этот раз. Дизайн крутой","Отличная фирма, посмотрим как на этот раз. Дизайн крутой",Нет,Нет
5,"Достоинства:Все отлично хорошее качество, отказ в пользу другой модели
Недостатки:Неудачно сделано на сгибе ноги сильно расходиться кожа","Все отлично хорошее качество, отказ в пользу другой модели",Неудачно сделано на сгибе ноги сильно расходиться кожа,Нет
4,Достоинства:На очень узкую ногу. Маломерят на размер.,На очень узкую ногу. Маломерят на размер.,Нет,Нет
4,"Достоинства:Лёгкие Удобные,но нам немного модель не подошла(выбрали другую этой же фирмы)","Лёгкие Удобные,но нам немного модель не подошла(выбрали другую этой же фирмы)",Нет,Нет
5,Достоинства:Хороший но взяли другой модель.,Хороший но взяли другой модель.,Нет,Нет
5,Классика и качество супер. Постоянный поклонник Rieker,Нет,Нет,Классика и качество супер. Постоянный поклонник Rieker
