review_rating,review_text,review_text_plus,review_text_minus
5,"Достоинства:Качественные, но для меня жесткие",,
5,"Достоинства:Качество отличное, но возврат, промахнулись с цветом",,
2,"Достоинства:Кеды с виду действительное красивые, но недостатков куда больше:(
Недостатки:Размерный ряд, качество кожзама, крайне неудобные внутри
Комментарий:Заказал 43 и 44 размер. Впервые столкнулся с тем, что 43 прямо впритык, а 44 огромный. Окей, смирился, взяв 43. Внутри они каменные, не разнашиваются, ногам в них в целом неудобно (вне зависимости от размера). Качество кожзама низкое, очень быстро теряют вид. Единственный плюс — первое время красиво смотрятся.",,
5,"Кроссовки- кеды отличные. К качеству нареканий нет. При покупке берите на один размер больше своего, т.к маломерят.",,
5,"Достоинства:Хорошие, качественные, мужу понравились",,
5,"Достоинства:Очень качественные
Недостатки:Нет
Комментарий:Кеды очень понравились, качество на высоте! Рекомендую! К сожалению отказ ребенка в пользу более спортивных.",,
5,"Размер не подошёл, а так кеты супер",,
5,"Выбор пал в пользу другой молели, эти не кожа натуральная, поэтому за эти же деньги взяли кожу натуральную",,
4,Не подошли по размеру,,
3,"Достоинства:Заказала мужу в подарок а пришли с подтеками белой краски с боку😭очень обидно, зачкм отправлять таклй товар(?!",,
5,"Достоинства:Ботинки супер, мягкие, удобные, полходят к любому образу",,
5,Все отлично!!!,,
5,"Достоинства:Товар пришел в идеальном состоянии. Коробка новая, обувь аккуратно упакована и еще дополнительный пакет! Это очень круто!
Недостатки:Их нет
Комментарий:Очень понравилась модель!",,
5,"Отличные кеды за такие деньги.как будут в носке,время покажет.думаю прослужат долго,подошва крепкая и верх тоже не хлипкий.",,
5,"Достоинства:Удобные, подошва мягкая, на широкую ногу сына отлично подошли, видно что обувь качественная!
Недостатки:Нет
Комментарий:Я очень рада что сыну понравились, ему трудно обувь выбирать, а тут прям с первой примерки, сын в восторге и я вместе с ним))",,
5,"Достоинства:Хорошая, удобная обувь, у меня размер 41,5, подошёл 41",,
5,"Достоинства:Хорошие, аккуратно сделаны,не тяжелые, красивый цвет, благородно смотрятся
Недостатки:Одной ноге удобно, другой - чувствуется дискомфорт, возможно это мое, чисто индивидуальное
Комментарий:Хорошие мужские кеды!",,
5,"Достоинства:Дешевые, удобные 4 из 5.
Недостатки:Выскальзывает пятка с задника. Заменил стельку за более удобную. (подложил снизу гелевую)
Комментарий:За свои деньги качество лучше, чем подделки именитых брендов. Вполне подойдет для повседневной носки.",,
5,"Достоинства:Выглядят хорошо,аккуратно. Подошли на широкую ногу с высоким подъемом.
Недостатки:Не заметили",,
5,"Достоинства:Лёгкие, мягкие
Недостатки:Нет
Комментарий:Хорошо смотрятся. У нас отказ, только потому что не подошли из за объёма,но это особенность стоения ноги. Рекомендую. Доставка быстрая быстрая",,
5,"Достоинства:Удобные классные кроссовки, размер в размер
Недостатки:Нет",,
5,"Хорошие красовки, сыну понравились",,
5,"Достоинства:Что за суета, такой бархатный обувь, уважения за качество вапше шикарно, спасибо братья!",,
5,"Достоинства:Качественные кеды. По ноге очень плотно идут. Упаковано качественро (коробка,мешочки). Клея нет от слова совсем
Недостатки:Пока не выявил
Комментарий:Очень удивлен качеством за такую стоимость",,
5,Достоинства:Отличные кеды! Ребенок доволен. Идут в размер.,,
5,"Достоинства:Светло-серый цвет верха очень хорош, не избитый. На широкую ногу хорошо село, косточки мизинца не трутся, как жто бывает обычно. Текстильный мягкий верх в области косточек лодыжки - супер!
Комментарий:Насколько хорошо будет еосиься экокожа пока не ясно, и это единственный нюанс. По улице пока не носил.",,
5,"Хорошие качественные кеды, идут в размер)",,
5,"Достоинства:Качество хорошее, запаха нет, проклеены окуратно
Недостатки:Нет",,
5,"Достоинства:Стоимость,качество,комфорт и легкость носки. При этом всё пришло аккуратно упакованое!
Недостатки:Не обнаружены
Комментарий:Я рад приобретением данного товара, буду чаще присматриваться к моделям этого ряда и продавцу)",,
1,Недостатки:Дешево выглядят,,
